fileName	fullNT	fullBacFullVir	fullBacFullVir95	16SDB
Streptococcus_mutans	Streptococcus_mutans	Streptococcus_mutans	Streptococcus_mutans	Streptococcus_mutans
Strongylus_vulgaris	-	Strongylus_vulgaris	-	-
Sus_scrofa	-	Sus_scrofa	-	-
Teleostei	Teleostei	-	-	-
Terrabacteria_group	Terrabacteria_group	-	Terrabacteria_group	-
Toxoplasma_gondii_ME49	-	-	Toxoplasma_gondii_ME49	Toxoplasma_gondii_ME49
Trichinella_spiralis	-	-	Trichinella_spiralis	-
Triticum	Triticum	-	-	-
[Clostridium]_saccharolyticum_WM1	-	-	[Clostridium]_saccharolyticum_WM1	-
[Eubacterium]_rectale_ATCC_33656	-	-	[Eubacterium]_rectale_ATCC_33656	-
bacterium	-	bacterium	-	-
environmental_samples_<Bacteria>	environmental_samples_<Bacteria>	environmental_samples_<Bacteria>	-	-
eudicotyledons	eudicotyledons	-	-	-
root	root	root	-	-
uncultured_bacterium	uncultured_bacterium	uncultured_bacterium	-	-
uncultured_eukaryote	-	uncultured_eukaryote	-	-
uncultured_organism	uncultured_organism	uncultured_organism	-	-
unidentified	unidentified	unidentified	-	-
